
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
74ALS655_SOP                     U9                                69   1      7   5   1 6           6 0 A2                  (100-29-13)
74ALS655_SOP                     U9                                69   1      8   6   1 7           7 0 A3                  (100-30-13)
74ALS655_SOP                     U9                                69   1      9   7   1 8           8 0 A4                  (100-31-13)
74ALS655_SOP                     U9                                69   1     10   8   1 9           9 0 A5                  (100-32-13)
74ALS655_SOP                     U9                                69   1     11   9   1 10         10 0 A6                  (100-33-13)
74ALS655_SOP                     U9                                69   1     12  10   1 11         11 0 A7                  (100-34-13)
74ALS655_SOP                     U9                                69   1     13  11   1 21         21 0                     (0-0-0)
74ALS655_SOP                     U9                                69   1     14  12   1 22         22 0                     (0-0-0)
74ALS655_SOP                     U9                                69   1     15  13   1 20         20 0 D0                  (100-9-13)
74ALS655_SOP                     U9                                69   1     16  14   1 19         19 0 D1                  (100-10-13)
74ALS655_SOP                     U9                                69   1     17  15   1 18         18 0 D2                  (100-11-13)
74ALS655_SOP                     U9                                69   1     18  16   1 17         17 0 D3                  (100-12-13)
74ALS655_SOP                     U9                                69   1     19  17   1 16         16 0 D4                  (100-13-13)
74ALS655_SOP                     U9                                69   1     20  18   1 15         15 0 D5                  (100-14-13)
74ALS655_SOP                     U9                                69   1     21  19   1 14         14 0 D6                  (100-15-13)
74ALS655_SOP                     U9                                69   1     22  20   1 13         13 0 D7                  (100-16-13)
74ALS655_SOP                     U9                                 0   2      1   1   2 12         12 1 GND                 (91-1-13)
74ALS655_SOP                     U9                                 0   3      1   1   3 24         24 1 VCC                 (100-5-13)
74ALS655_SOP                     U10                               68   1      1   1   1 1           1 0 WR0                 (100-47-13)
74ALS655_SOP                     U10                               68   1      2   1   1 2           2 0 ~RAMRD              (100-51-13)
74ALS655_SOP                     U10                               68   1      3   1   1 23         23 0 $1N29_8             (144-20-13)
74ALS655_SOP                     U10                               68   1      4   2   1 3           3 0 BANK0               (100-43-13)
74ALS655_SOP                     U10                               68   1      5   3   1 4           4 0 A0                  (100-27-13)
